2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:47 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:44:07 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:44:12 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
